7.36,8.31,2006-09-11 12:00:00,224.0,7
7.84,6.68,2006-09-11 12:00:00,10544.0,8
8.78,7.73,2006-09-11 12:00:00,2288.0,9
9.18,6.97,2006-09-11 12:00:00,2608.0,10
9.18,8.31,2006-09-11 12:00:00,1312.0,11
9.91,8.39,2006-09-11 12:00:00,768.0,12
10.53,6.86,2006-09-11 12:00:00,1264.0,13
12.46,-2.96,2006-09-11 12:00:00,4720.0,14
13.59,-0.89,2006-09-11 12:00:00,5408.0,15
14.50,-1.11,2006-09-11 12:00:00,5056.0,16
14.71,-1.87,2006-09-11 12:00:00,704.0,17
15.00,-2.27,2006-09-11 12:00:00,2080.0,18
15.70,-2.64,2006-09-11 12:00:00,640.0,19
5.76,3.66,2006-09-11 13:00:00,17552.0,1
5.73,6.31,2006-09-11 13:00:00,40816.0,2
6.45,8.93,2006-09-11 13:00:00,96.0,3
6.82,8.82,2006-09-11 13:00:00,1072.0,4
6.78,7.91,2006-09-11 13:00:00,496.0,5
6.89,7.29,2006-09-11 13:00:00,1152.0,6
7.33,7.77,2006-09-11 13:00:00,3872.0,7
7.80,6.17,2006-09-11 13:00:00,9360.0,8
7.51,6.89,2006-09-11 13:00:00,1936.0,9
7.80,5.00,2006-09-11 13:00:00,1984.0,10
8.38,0.89,2006-09-11 13:00:00,480.0,11
8.97,7.69,2006-09-11 13:00:00,8592.0,12
9.15,6.71,2006-09-11 13:00:00,4512.0,13
9.87,8.09,2006-09-11 13:00:00,2832.0,14
10.46,6.64,2006-09-11 13:00:00,4800.0,15
10.27,7.15,2006-09-11 13:00:00,352.0,16
11.08,8.93,2006-09-11 13:00:00,288.0,17
12.64,-3.26,2006-09-11 13:00:00,2672.0,18
14.02,-1.04,2006-09-11 13:00:00,24080.0,19
13.29,0.09,2006-09-11 13:00:00,672.0,20
14.86,-2.24,2006-09-11 13:00:00,7264.0,21
15.70,-2.82,2006-09-11 13:00:00,6288.0,22
6.20,6.35,2006-09-11 14:00:00,67040.0,1
5.73,3.37,2006-09-11 14:00:00,8880.0,2
6.38,5.77,2006-09-11 14:00:00,624.0,3
6.93,8.64,2006-09-11 14:00:00,1488.0,4
6.96,6.28,2006-09-11 14:00:00,576.0,5
7.66,5.51,2006-09-11 14:00:00,18688.0,6
7.26,6.71,2006-09-11 14:00:00,352.0,7
7.62,0.75,2006-09-11 14:00:00,1056.0,8
8.49,0.82,2006-09-11 14:00:00,4560.0,9
9.51,7.18,2006-09-11 14:00:00,35232.0,10
9.15,8.53,2006-09-11 14:00:00,544.0,11
9.29,4.64,2006-09-11 14:00:00,576.0,12
9.77,7.22,2006-09-11 14:00:00,944.0,13
9.80,6.93,2006-09-11 14:00:00,720.0,14
10.42,6.46,2006-09-11 14:00:00,9888.0,15
10.17,7.18,2006-09-11 14:00:00,272.0,16
10.97,8.68,2006-09-11 14:00:00,4016.0,17
11.00,1.91,2006-09-11 14:00:00,1296.0,18
12.35,-3.40,2006-09-11 14:00:00,3856.0,19
14.50,-1.73,2006-09-11 14:00:00,65296.0,20
13.69,1.11,2006-09-11 14:00:00,768.0,21
13.77,1.44,2006-09-11 14:00:00,400.0,22
16.28,-3.55,2006-09-11 14:00:00,384.0,23
6.67,5.98,2006-09-11 15:00:00,94416.0,1
5.98,8.49,2006-09-11 15:00:00,144.0,2
6.16,8.89,2006-09-11 15:00:00,752.0,3
6.60,-0.60,2006-09-11 15:00:00,400.0,4
7.44,8.35,2006-09-11 15:00:00,624.0,5
7.55,0.82,2006-09-11 15:00:00,1024.0,6
8.02,-1.84,2006-09-11 15:00:00,736.0,7
8.42,0.64,2006-09-11 15:00:00,8256.0,8
9.62,6.89,2006-09-11 15:00:00,50608.0,9
9.26,4.09,2006-09-11 15:00:00,2496.0,10
9.29,5.00,2006-09-11 15:00:00,432.0,11
9.58,8.35,2006-09-11 15:00:00,1328.0,12
9.62,3.33,2006-09-11 15:00:00,1088.0,13
10.82,8.39,2006-09-11 15:00:00,7728.0,14
10.42,8.60,2006-09-11 15:00:00,784.0,15
10.53,7.00,2006-09-11 15:00:00,144.0,16
10.97,1.73,2006-09-11 15:00:00,2640.0,17
10.97,5.11,2006-09-11 15:00:00,176.0,18
11.29,2.13,2006-09-11 15:00:00,576.0,19
14.60,-1.98,2006-09-11 15:00:00,95488.0,20
13.40,0.71,2006-09-11 15:00:00,784.0,21
13.69,1.18,2006-09-11 15:00:00,2896.0,22
7.47,5.66,2006-09-11 16:00:00,136976.0,1
6.02,8.79,2006-09-11 16:00:00,4720.0,2
6.56,-0.89,2006-09-11 16:00:00,2192.0,3
6.78,8.20,2006-09-11 16:00:00,480.0,4
7.29,8.60,2006-09-11 16:00:00,1440.0,5
8.06,0.56,2006-09-11 16:00:00,14240.0,6
7.36,-0.56,2006-09-11 16:00:00,368.0,7
7.98,-1.91,2006-09-11 16:00:00,3120.0,8
9.73,6.86,2006-09-11 16:00:00,69728.0,9
9.18,8.71,2006-09-11 16:00:00,1728.0,10
9.40,4.64,2006-09-11 16:00:00,1408.0,11
9.66,8.28,2006-09-11 16:00:00,1296.0,12
9.66,5.11,2006-09-11 16:00:00,480.0,13
9.95,-1.51,2006-09-11 16:00:00,544.0,14
10.02,3.51,2006-09-11 16:00:00,320.0,15
10.06,8.39,2006-09-11 16:00:00,384.0,16
10.71,8.82,2006-09-11 16:00:00,1760.0,17
10.89,1.62,2006-09-11 16:00:00,3296.0,18
10.97,4.93,2006-09-11 16:00:00,2464.0,19
11.29,1.95,2006-09-11 16:00:00,1936.0,20
11.66,-0.89,2006-09-11 16:00:00,272.0,21
12.53,0.93,2006-09-11 16:00:00,848.0,22
14.60,-1.98,2006-09-11 16:00:00,129040.0,23
12.79,0.42,2006-09-11 16:00:00,432.0,24
7.66,5.22,2006-09-11 17:00:00,135696.0,1
6.16,8.60,2006-09-11 17:00:00,14192.0,2
6.45,7.44,2006-09-11 17:00:00,512.0,3
6.75,7.18,2006-09-11 17:00:00,768.0,4
7.00,3.37,2006-09-11 17:00:00,832.0,5
7.84,0.45,2006-09-11 17:00:00,14080.0,6
7.87,-2.02,2006-09-11 17:00:00,5904.0,7
7.62,-0.96,2006-09-11 17:00:00,784.0,8
9.98,6.60,2006-09-11 17:00:00,65504.0,9
9.18,8.53,2006-09-11 17:00:00,4304.0,10
9.29,1.73,2006-09-11 17:00:00,1440.0,11
9.44,-4.71,2006-09-11 17:00:00,624.0,12
9.62,4.93,2006-09-11 17:00:00,1712.0,13
9.95,4.02,2006-09-11 17:00:00,192.0,14
10.64,1.47,2006-09-11 17:00:00,1952.0,15
10.64,4.13,2006-09-11 17:00:00,464.0,16
11.00,4.75,2006-09-11 17:00:00,4256.0,17
10.89,8.71,2006-09-11 17:00:00,3168.0,18
11.29,1.73,2006-09-11 17:00:00,1680.0,19
11.29,3.84,2006-09-11 17:00:00,1456.0,20
11.55,7.44,2006-09-11 17:00:00,720.0,21
11.91,-0.75,2006-09-11 17:00:00,512.0,22
14.68,-2.06,2006-09-11 17:00:00,161184.0,23
14.24,-2.78,2006-09-11 17:00:00,752.0,24
18.68,8.28,2006-09-11 17:00:00,304.0,25
7.66,4.97,2006-09-11 18:00:00,158000.0,1
6.38,8.42,2006-09-11 18:00:00,24832.0,2
7.07,0.45,2006-09-11 18:00:00,5424.0,3
7.55,-2.27,2006-09-11 18:00:00,3104.0,4
7.87,0.13,2006-09-11 18:00:00,7968.0,5
7.55,-1.29,2006-09-11 18:00:00,1328.0,6
8.24,7.77,2006-09-11 18:00:00,240.0,7
9.95,6.28,2006-09-11 18:00:00,69168.0,8
9.15,8.31,2006-09-11 18:00:00,5104.0,9
9.26,1.51,2006-09-11 18:00:00,3312.0,10
10.13,3.77,2006-09-11 18:00:00,4016.0,11
9.80,-4.82,2006-09-11 18:00:00,96.0,12
10.78,8.71,2006-09-11 18:00:00,5296.0,13
10.68,3.91,2006-09-11 18:00:00,2368.0,14
11.00,4.53,2006-09-11 18:00:00,2912.0,15
11.33,3.58,2006-09-11 18:00:00,3488.0,16
11.51,7.18,2006-09-11 18:00:00,2144.0,17
11.55,-0.49,2006-09-11 18:00:00,672.0,18
13.33,-0.13,2006-09-11 18:00:00,38496.0,19
15.04,-2.75,2006-09-11 18:00:00,148544.0,20
8.31,4.86,2006-09-11 19:00:00,227408.0,1
6.42,8.28,2006-09-11 19:00:00,33328.0,2
6.13,-0.89,2006-09-11 19:00:00,1312.0,3
6.93,0.64,2006-09-11 19:00:00,8016.0,4
7.36,2.06,2006-09-11 19:00:00,240.0,5
7.84,-0.16,2006-09-11 19:00:00,3792.0,6
8.20,7.55,2006-09-11 19:00:00,1168.0,7
9.07,8.06,2006-09-11 19:00:00,4752.0,8
9.04,1.40,2006-09-11 19:00:00,4000.0,9
10.27,8.79,2006-09-11 19:00:00,3728.0,10
11.04,8.53,2006-09-11 19:00:00,5136.0,11
11.62,2.67,2006-09-11 19:00:00,1696.0,12
14.71,-2.49,2006-09-11 19:00:00,173536.0,13
13.80,-4.27,2006-09-11 19:00:00,304.0,14
8.35,4.60,2006-09-11 20:00:00,210320.0,1
6.60,8.13,2006-09-11 20:00:00,41200.0,2
5.98,-1.15,2006-09-11 20:00:00,2912.0,3
6.89,0.45,2006-09-11 20:00:00,3712.0,4
8.71,1.51,2006-09-11 20:00:00,4288.0,5
8.89,7.84,2006-09-11 20:00:00,2240.0,6
11.15,8.28,2006-09-11 20:00:00,3936.0,7
11.51,2.75,2006-09-11 20:00:00,7152.0,8
14.60,-2.93,2006-09-11 20:00:00,124704.0,9
12.60,-0.13,2006-09-11 20:00:00,4400.0,10
17.19,-3.73,2006-09-11 20:00:00,5712.0,11
18.83,-4.42,2006-09-11 20:00:00,1664.0,12
18.93,-3.73,2006-09-11 20:00:00,464.0,13
5.69,4.78,2006-09-11 21:00:00,11216.0,1
6.93,8.02,2006-09-11 21:00:00,39424.0,2
7.91,3.15,2006-09-11 21:00:00,65968.0,3
9.00,4.42,2006-09-11 21:00:00,170256.0,4
8.60,1.33,2006-09-11 21:00:00,5952.0,5
9.69,2.09,2006-09-11 21:00:00,688.0,6
11.29,4.35,2006-09-11 21:00:00,816.0,7
11.62,2.35,2006-09-11 21:00:00,4848.0,8
14.46,-3.15,2006-09-11 21:00:00,84272.0,9
14.82,0.09,2006-09-11 21:00:00,912.0,10
18.75,-4.82,2006-09-11 21:00:00,1728.0,11
18.86,-4.17,2006-09-11 21:00:00,3264.0,12
7.18,7.99,2006-09-11 22:00:00,36400.0,1
8.89,4.09,2006-09-11 22:00:00,188272.0,2
6.89,-2.67,2006-09-11 22:00:00,304.0,3
8.49,1.04,2006-09-11 22:00:00,4800.0,4
8.60,1.69,2006-09-11 22:00:00,752.0,5
9.66,1.95,2006-09-11 22:00:00,1920.0,6
12.89,-1.73,2006-09-11 22:00:00,4432.0,7
12.97,-2.35,2006-09-11 22:00:00,6480.0,8
14.46,-3.73,2006-09-11 22:00:00,34880.0,9
14.86,0.16,2006-09-11 22:00:00,1520.0,10
16.28,-2.89,2006-09-11 22:00:00,6848.0,11
18.83,-4.27,2006-09-11 22:00:00,2784.0,12
7.26,7.91,2006-09-11 23:00:00,37552.0,1
8.97,3.91,2006-09-11 23:00:00,215728.0,2
6.56,4.06,2006-09-11 23:00:00,208.0,3
8.67,6.06,2006-09-11 23:00:00,144.0,4
14.35,-3.47,2006-09-11 23:00:00,22544.0,5
16.39,-2.82,2006-09-11 23:00:00,9168.0,6
7.15,1.98,2006-09-12 00:00:00,31856.0,1
9.07,3.77,2006-09-12 00:00:00,240672.0,2
7.40,8.02,2006-09-12 00:00:00,31536.0,3
8.75,8.49,2006-09-12 00:00:00,176.0,4
14.35,-3.73,2006-09-12 00:00:00,13936.0,5
16.50,-1.76,2006-09-12 00:00:00,2432.0,6
16.53,-3.00,2006-09-12 00:00:00,3792.0,7
7.00,1.51,2006-09-12 01:00:00,22176.0,1
9.18,3.66,2006-09-12 01:00:00,249840.0,2
7.62,7.91,2006-09-12 01:00:00,32976.0,3
8.71,8.42,2006-09-12 01:00:00,5568.0,4
13.99,-3.95,2006-09-12 01:00:00,2992.0,5
15.00,-3.69,2006-09-12 01:00:00,5040.0,6
5.91,4.86,2006-09-12 02:00:00,544.0,1
6.45,1.33,2006-09-12 02:00:00,8560.0,2
9.33,3.51,2006-09-12 02:00:00,258368.0,3
7.00,8.86,2006-09-12 02:00:00,2720.0,4
8.06,7.88,2006-09-12 02:00:00,38240.0,5
7.33,1.26,2006-09-12 02:00:00,7696.0,6
9.87,6.64,2006-09-12 02:00:00,1024.0,7
5.80,4.78,2006-09-12 03:00:00,2992.0,1
5.80,8.42,2006-09-12 03:00:00,2480.0,2
6.16,1.15,2006-09-12 03:00:00,7888.0,3
9.33,3.29,2006-09-12 03:00:00,262144.0,4
6.49,4.71,2006-09-12 03:00:00,1392.0,5
6.75,8.79,2006-09-12 03:00:00,2688.0,6
8.27,7.69,2006-09-12 03:00:00,40000.0,7
7.76,8.24,2006-09-12 03:00:00,2160.0,8
8.86,5.84,2006-09-12 03:00:00,10336.0,9
6.09,1.04,2006-09-12 04:00:00,13376.0,1
